E	total	s	p
-9.94802726	0.601	0.2522	0.0212
-9.88432726	0.6241	0.2622	0.0228
-9.820527259999999	0.6506	0.274	0.0242
-9.75682726	0.6821	0.2878	0.0258
-9.69302726	0.7202	0.3046	0.0276
-9.62932726	0.7732	0.3282	0.0298
-9.56562726	0.8901	0.3806	0.034
-9.501827259999999	0.9281	0.3976	0.0364
-9.43812726	0.8874	0.3794	0.036
-9.37432726	0.859	0.3666	0.0362
-9.31062726	0.8465	0.361	0.0364
-9.24682726	0.8192	0.349	0.0368
-9.18312726	0.7962	0.3388	0.0368
-9.119327259999999	0.7766	0.33	0.037
-9.05562726	0.7476	0.3172	0.0368
-8.99192726	0.7292	0.309	0.037
-8.92812726	0.7113	0.3012	0.037
-8.86442726	0.6828	0.2886	0.0368
-8.800627259999999	0.6587	0.278	0.0362
-8.73692726	0.6393	0.2696	0.036000000000000004
-8.67312726	0.6171	0.2598	0.0358
-8.60942726	0.5895	0.2478	0.0352
-8.54572726	0.5661	0.2376	0.0346
-8.481927259999999	0.5445	0.2282	0.034
-8.41822726	0.5203	0.2176	0.03320000000000001
-8.35442726	0.4918	0.2052	0.0322
-8.29072726	0.4659	0.194	0.0314
-8.22692726	0.4437	0.1844	0.0306
-8.16322726	0.4132	0.1712	0.029
-8.099427259999999	0.3938	0.1626	0.0284
-8.03572726	0.3989	0.1638	0.0298
-7.972027259999999	0.3239	0.1322	0.024800000000000003
-7.908227259999999	0.2443	0.0994	0.019
-7.84452726	0.1744	0.0712	0.013600000000000001
-7.780727259999999	0.005	0.002	0.0004
-7.71702726	0.003	0.0012	0.0002
-7.6532272599999995	0.0221	0.0086	0.002
-7.58952726	0.0593	0.023	0.0056
-7.52572726	0.1128	0.0438	0.0108
-7.462027259999999	0.1915	0.0746	0.018199999999999997
-7.398327259999999	0.3244	0.1272	0.0308
-7.33452726	0.3069	0.1194	0.030199999999999998
-7.270827259999999	0.3439	0.1334	0.0342
-7.207027259999999	0.3833	0.148	0.0388
-7.1433272599999995	0.4275	0.1638	0.0444
-7.07952726	0.4652	0.177	0.0494
-7.01582726	0.5027	0.1898	0.0546
-6.952127259999999	0.5579	0.208	0.0626
-6.88832726	0.6265	0.2302	0.07239999999999999
-6.82462726	0.9296	0.3014	0.1256
-6.760827259999999	1.3831	0.4218	0.2
-6.697127259999999	2.0511	0.6018	0.3088
-6.63332726	1.2774	0.385	0.1892
-6.56962726	1.0645	0.3234	0.1576
-6.505827259999999	0.941	0.287	0.1402
-6.4421272599999995	0.8501	0.2594	0.1274
-6.37842726	0.7854	0.24	0.1186
-6.31462726	0.7362	0.225	0.11179999999999998
-6.250927259999999	0.6929	0.2116	0.10619999999999999
-6.18712726	0.6527	0.199	0.10099999999999999
-6.12342726	0.6158	0.1872	0.096
-6.059627259999999	0.5831	0.1766	0.0918
-5.995927259999999	0.5595	0.1692	0.089
-5.93212726	0.5368	0.162	0.08600000000000001
-5.86842726	0.5142	0.1546	0.0834
-5.80472726	0.4926	0.1474	0.0806
-5.740927259999999	0.4692	0.1398	0.0776
-5.6772272599999996	0.4484	0.133	0.075
-5.61342726	0.4341	0.1284	0.07300000000000001
-5.549727259999999	0.4197	0.1236	0.0714
